data,taxa_cdi_dia_percentual,fator_cdi_dia,fator_cdi_acumulado,rentabilidade_cdi_acumulada_percentual
2024-07-01,0.0392700000,1.0003927000,1.0003927000,0.0392700000
2024-07-02,0.0392700000,1.0003927000,1.0007855542,0.0785554213
2024-07-03,0.0392700000,1.0003927000,1.0011785627,0.1178562700
2024-07-04,0.0392700000,1.0003927000,1.0015717255,0.1571725522
2024-07-05,0.0392700000,1.0003927000,1.0019650427,0.1965042739
2024-07-08,0.0392700000,1.0003927000,1.0023585144,0.2358514411
2024-07-09,0.0392700000,1.0003927000,1.0027521406,0.2752140600
2024-07-10,0.0392700000,1.0003927000,1.0031459214,0.3145921365
2024-07-11,0.0392700000,1.0003927000,1.0035398568,0.3539856768
2024-07-12,0.0392700000,1.0003927000,1.0039339469,0.3933946870
2024-07-15,0.0392700000,1.0003927000,1.0043281917,0.4328191731
2024-07-16,0.0392700000,1.0003927000,1.0047225914,0.4722591412
2024-07-17,0.0392700000,1.0003927000,1.0051171460,0.5117145974
2024-07-18,0.0392700000,1.0003927000,1.0055118555,0.5511855477
2024-07-19,0.0392700000,1.0003927000,1.0059067200,0.5906719983
2024-07-22,0.0392700000,1.0003927000,1.0063017396,0.6301739551
2024-07-23,0.0392700000,1.0003927000,1.0066969142,0.6696914245
2024-07-24,0.0392700000,1.0003927000,1.0070922441,0.7092244123
2024-07-25,0.0392700000,1.0003927000,1.0074877292,0.7487729247
2024-07-26,0.0392700000,1.0003927000,1.0078833697,0.7883369678
2024-07-29,0.0392700000,1.0003927000,1.0082791655,0.8279165478
2024-07-30,0.0392700000,1.0003927000,1.0086751167,0.8675116706
2024-07-31,0.0392700000,1.0003927000,1.0090712234,0.9071223424
2024-08-01,0.0392700000,1.0003927000,1.0094674857,0.9467485694
2024-08-02,0.0392700000,1.0003927000,1.0098639036,0.9863903575
2024-08-05,0.0392700000,1.0003927000,1.0102604771,1.0260477130
2024-08-06,0.0392700000,1.0003927000,1.0106572064,1.0657206420
2024-08-07,0.0392700000,1.0003927000,1.0110540915,1.1054091505
2024-08-08,0.0392700000,1.0003927000,1.0114511324,1.1451132446
2024-08-09,0.0392700000,1.0003927000,1.0118483293,1.1848329306
2024-08-12,0.0392700000,1.0003927000,1.0122456821,1.2245682145
2024-08-13,0.0392700000,1.0003927000,1.0126431910,1.2643191024
2024-08-14,0.0392700000,1.0003927000,1.0130408560,1.3040856005
2024-08-15,0.0392700000,1.0003927000,1.0134386771,1.3438677150
2024-08-16,0.0392700000,1.0003927000,1.0138366545,1.3836654518
2024-08-19,0.0392700000,1.0003927000,1.0142347882,1.4234788172
2024-08-20,0.0392700000,1.0003927000,1.0146330782,1.4633078174
2024-08-21,0.0392700000,1.0003927000,1.0150315246,1.5031524583
2024-08-22,0.0392700000,1.0003927000,1.0154301275,1.5430127463
2024-08-23,0.0392700000,1.0003927000,1.0158288869,1.5828886874
2024-08-26,0.0392700000,1.0003927000,1.0162278029,1.6227802878
2024-08-27,0.0392700000,1.0003927000,1.0166268755,1.6626875536
2024-08-28,0.0392700000,1.0003927000,1.0170261049,1.7026104910
2024-08-29,0.0392700000,1.0003927000,1.0174254911,1.7425491062
2024-08-30,0.0392700000,1.0003927000,1.0178250341,1.7825034052
2024-09-02,0.0392700000,1.0003927000,1.0182247339,1.8224733943
2024-09-03,0.0392700000,1.0003927000,1.0186245908,1.8624590796
2024-09-04,0.0392700000,1.0003927000,1.0190246047,1.9024604673
2024-09-05,0.0392700000,1.0003927000,1.0194247756,1.9424775635
2024-09-06,0.0392700000,1.0003927000,1.0198251037,1.9825103744
2024-09-09,0.0392700000,1.0003927000,1.0202255891,2.0225589063
2024-09-10,0.0392700000,1.0003927000,1.0206262317,2.0626231651
2024-09-11,0.0392700000,1.0003927000,1.0210270316,2.1027031573
2024-09-12,0.0392700000,1.0003927000,1.0214279889,2.1427988888
2024-09-13,0.0392700000,1.0003927000,1.0218291037,2.1829103659
2024-09-16,0.0392700000,1.0003927000,1.0222303759,2.2230375948
2024-09-17,0.0392700000,1.0003927000,1.0226318058,2.2631805817
2024-09-18,0.0392700000,1.0003927000,1.0230333933,2.3033393327
2024-09-19,0.0401680000,1.0004016800,1.0234443254,2.3444325380
2024-09-20,0.0401680000,1.0004016800,1.0238554225,2.3855422497
2024-09-23,0.0401680000,1.0004016800,1.0242666847,2.4266684743
2024-09-24,0.0401680000,1.0004016800,1.0246781122,2.4678112185
2024-09-25,0.0401680000,1.0004016800,1.0250897049,2.5089704889
2024-09-26,0.0401680000,1.0004016800,1.0255014629,2.5501462922
2024-09-27,0.0401680000,1.0004016800,1.0259133863,2.5913386349
2024-09-30,0.0401680000,1.0004016800,1.0263254752,2.6325475238
2024-10-01,0.0401680000,1.0004016800,1.0267377297,2.6737729655
2024-10-02,0.0401680000,1.0004016800,1.0271501497,2.7150149667
2024-10-03,0.0401680000,1.0004016800,1.0275627353,2.7562735339
2024-10-04,0.0401680000,1.0004016800,1.0279754867,2.7975486738
2024-10-07,0.0401680000,1.0004016800,1.0283884039,2.8388403932
2024-10-08,0.0401680000,1.0004016800,1.0288014870,2.8801486986
2024-10-09,0.0401680000,1.0004016800,1.0292147360,2.9214735967
2024-10-10,0.0401680000,1.0004016800,1.0296281509,2.9628150942
2024-10-11,0.0401680000,1.0004016800,1.0300417320,3.0041731978
2024-10-14,0.0401680000,1.0004016800,1.0304554791,3.0455479141
2024-10-15,0.0401680000,1.0004016800,1.0308693925,3.0869392498
2024-10-16,0.0401680000,1.0004016800,1.0312834721,3.1283472115
2024-10-17,0.0401680000,1.0004016800,1.0316977181,3.1697718060
2024-10-18,0.0401680000,1.0004016800,1.0321121304,3.2112130400
2024-10-21,0.0401680000,1.0004016800,1.0325267092,3.2526709200
2024-10-22,0.0401680000,1.0004016800,1.0329414545,3.2941454529
2024-10-23,0.0401680000,1.0004016800,1.0333563665,3.3356366452
2024-10-24,0.0401680000,1.0004016800,1.0337714450,3.3771445038
2024-10-25,0.0401680000,1.0004016800,1.0341866904,3.4186690352
2024-10-28,0.0401680000,1.0004016800,1.0346021025,3.4602102461
2024-10-29,0.0401680000,1.0004016800,1.0350176814,3.5017681434
2024-10-30,0.0401680000,1.0004016800,1.0354334273,3.5433427336
2024-10-31,0.0401680000,1.0004016800,1.0358493402,3.5849340235
2024-11-01,0.0401680000,1.0004016800,1.0362654202,3.6265420198
2024-11-04,0.0401680000,1.0004016800,1.0366816673,3.6681667292
2024-11-05,0.0401680000,1.0004016800,1.0370980816,3.7098081584
2024-11-06,0.0401680000,1.0004016800,1.0375146631,3.7514663142
2024-11-07,0.0419570000,1.0004195700,1.0379499732,3.7949973169
2024-11-08,0.0419570000,1.0004195700,1.0383854658,3.8385465839
2024-11-11,0.0419570000,1.0004195700,1.0388211412,3.8821141229
2024-11-12,0.0419570000,1.0004195700,1.0392569994,3.9256999415
2024-11-13,0.0419570000,1.0004195700,1.0396930405,3.9693040475
2024-11-14,0.0419570000,1.0004195700,1.0401292645,4.0129264484
2024-11-18,0.0419570000,1.0004195700,1.0405656715,4.0565671519
2024-11-19,0.0419570000,1.0004195700,1.0410022617,4.1002261658
2024-11-21,0.0419570000,1.0004195700,1.0414390350,4.1439034977
2024-11-22,0.0419570000,1.0004195700,1.0418759916,4.1875991553
2024-11-25,0.0419570000,1.0004195700,1.0423131315,4.2313131463
2024-11-26,0.0419570000,1.0004195700,1.0427504548,4.2750454783
2024-11-27,0.0419570000,1.0004195700,1.0431879616,4.3187961591
2024-11-28,0.0419570000,1.0004195700,1.0436256520,4.3625651964
2024-11-29,0.0419570000,1.0004195700,1.0440635260,4.4063525979
2024-12-02,0.0419570000,1.0004195700,1.0445015837,4.4501583713
2024-12-03,0.0419570000,1.0004195700,1.0449398252,4.4939825242
2024-12-04,0.0419570000,1.0004195700,1.0453782506,4.5378250645
2024-12-05,0.0419570000,1.0004195700,1.0458168600,4.5816859997
